[GIN] 2022/04/30 - 20:21:21 | 200 |     855.591µs |    192.168.1.17 | GET      "/user_role_access/Production Manager/"
[GIN] 2022/04/30 - 20:23:19 | 200 |   14.500119ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:23:19 | 200 |   15.808021ms |    192.168.1.17 | POST     "/user_role_access/create/multi/"
[GIN] 2022/04/30 - 20:23:21 | 200 |     752.743µs |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:23:21 | 200 |     719.486µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:23:23 | 200 |    1.479542ms |    192.168.1.17 | GET      "/user_role_access/8cfbb1c6-f896-4254-8d36-3bc53f0aad55/"
[GIN] 2022/04/30 - 20:23:27 | 200 |    1.202629ms |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:23:27 | 200 |     674.577µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:23:29 | 200 |    3.699438ms |    192.168.1.17 | GET      "/user_role_access/Team Leader/"
[GIN] 2022/04/30 - 20:23:44 | 200 |     679.393µs |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:23:44 | 200 |     833.732µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:23:45 | 200 |    3.933756ms |    192.168.1.17 | GET      "/user_role_access/Production Manager/"
[GIN] 2022/04/30 - 20:24:09 | 200 |     870.727µs |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:24:09 | 200 |     585.631µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:24:11 | 200 |    1.706353ms |    192.168.1.17 | GET      "/user_role_access/8cfbb1c6-f896-4254-8d36-3bc53f0aad55/"
[GIN] 2022/04/30 - 20:24:18 | 200 |    2.817386ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:24:18 | 200 |   15.005443ms |    192.168.1.17 | POST     "/user_role_access/create/multi/"
[GIN] 2022/04/30 - 20:24:21 | 200 |     798.758µs |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:24:21 | 200 |     696.774µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:24:38 | 200 |    1.015199ms |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:24:38 | 200 |    1.048727ms |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:24:40 | 200 |     720.243µs |    192.168.1.17 | GET      "/user_role_access/18fa464b-d15c-4a84-a09c-471a775fab1e/"
[GIN] 2022/04/30 - 20:25:59 | 200 |    2.896366ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:25:59 | 200 |   15.394562ms |    192.168.1.17 | POST     "/user_role_access/create/multi/"
[GIN] 2022/04/30 - 20:26:04 | 200 |    1.187179ms |    192.168.1.17 | POST     "/user_role/"
[GIN] 2022/04/30 - 20:26:04 | 200 |     783.528µs |    192.168.1.17 | GET      "/common/tables/"
[GIN] 2022/04/30 - 20:26:08 | 200 |    3.137599ms |    192.168.1.17 | GET      "/user_role_access/015bcb9a-ad9b-4d6b-9834-cda0643664e1/"
[GIN] 2022/04/30 - 20:27:55 | 200 |    5.802945ms |    192.168.1.17 | GET      "/auth/refresh/"
[GIN] 2022/04/30 - 20:27:55 | 200 |   10.131862ms |    192.168.1.17 | POST     "/user_role_access/create/multi/"
[GIN] 2022/04/30 - 20:27:57 | 200 |      686.71µs |    192.168.1.17 | POST     "/user_role/"
